epoch,train_loss,lr,parameters,epoch_seconds,peak_memory_mb,val_dice_mean,val_avd_mean,val_hd95_mean
1,0.5250546412232021,4.1666666666666665e-05,12962169,25.748096704483032,963.31689453125,,,
2,0.41602537928459543,6.25e-05,12962169,25.859954595565796,963.95751953125,,,
3,0.335193909627075,8.333333333333333e-05,12962169,25.938477754592896,962.75439453125,,,
4,0.29788870791283745,0.00010416666666666667,12962169,25.688782691955566,963.95751953125,,,
5,0.28578102763276547,0.000125,12962169,25.889445066452026,962.75439453125,0.6270149499096961,79.07180361426445,55.48780886332194
6,0.2899848578067926,0.00014583333333333335,12962169,25.640899896621704,1014.53515625,,,
7,0.5886464122868585,0.00016666666666666666,12962169,25.574334383010864,1014.37109375,,,
8,1.6352388982278891,0.0001875,12962169,23.56501793861389,1725.751953125,,,
9,2.462549638748169,0.00020833333333333335,12962169,20.082701206207275,1725.720703125,,,
10,4.020277738571167,0.00022916666666666666,12962169,20.73454976081848,1727.431640625,0.14189287138884613,84.34705250528238,13.197681903839111
11,2.8412277698516846,0.00025,12962169,20.554508686065674,1726.916015625,,,
12,5.632119337717692,0.00025,12962169,20.63837742805481,1726.455078125,,,
13,0.0,0.00024998911020905135,12962169,20.524657249450684,1726.916015625,,,
14,0.0,0.00024995644273360614,12962169,20.17727041244507,1726.916015625,,,
15,4.773788690567017,0.000249902003265536,12962169,20.378840446472168,1726.916015625,0.1318321095670413,85.43675787594161,13.311384042104086
16,0.0,0.0002498258012901917,12962169,20.106890201568604,1726.916015625,,,
17,0.0,0.0002497278500847507,12962169,20.481579780578613,1726.916015625,,,
18,0.0,0.00024960816671590325,12962169,21.068800687789917,1726.916015625,,,
19,0.0,0.0002494667720368793,12962169,20.908976793289185,1726.916015625,,,
20,0.0,0.0002493036906838148,12962169,21.08100414276123,1726.916015625,0.1318321095670413,85.43675787594161,13.311384042104086
21,0.0,0.00024911895107145916,12962169,20.63853645324707,1726.916015625,,,
22,4.748044967651367,0.0002489125853882246,12962169,20.553240299224854,1727.087890625,,,
23,0.0,0.0002486846295905774,12962169,21.21671962738037,1726.916015625,,,
24,0.0,0.0002484351233967734,12962169,21.083677530288696,1726.916015625,,,
25,0.0,0.0002481641102799372,12962169,20.487033367156982,1726.916015625,0.13016177195672582,85.60439847869473,13.309665203094482
26,0.0,0.00024787163746048776,12962169,20.767908573150635,1726.916015625,,,
27,0.0,0.00024755775589791086,12962169,20.944785594940186,1726.916015625,,,
28,0.0,0.0002472225202818801,12962169,20.884693384170532,1726.916015625,,,
29,0.0,0.00024686598902272795,12962169,20.88396191596985,1726.916015625,,,
30,0.0,0.00024648822424126846,12962169,20.527467727661133,1726.916015625,0.13016177195672582,85.60439847869473,13.309665203094482
31,0.0,0.0002460892917579736,12962169,20.540672779083252,1726.916015625,,,
32,0.0,0.00024566926108150484,12962169,20.65546989440918,1726.916015625,,,
33,0.0,0.0002452282053966024,12962169,20.788102626800537,1726.916015625,,,
34,0.0,0.0002447662015513335,12962169,20.50686764717102,1726.916015625,,,
