epoch,train_loss,lr,parameters,epoch_seconds,peak_memory_mb,val_dice_mean,val_avd_mean,val_hd95_mean
1,0.5849219898227602,0.0002999771542734587,5647300,5.209688425064087,535.3935546875,,,
2,0.42566720047034323,0.0002999086240528644,5647300,5.110486745834351,535.3935546875,,,
3,0.3221509261056781,0.0002997944302131861,5647300,5.075875282287598,535.3935546875,,,
4,0.2479235357604921,0.0002996346075389736,5647300,5.021219968795776,535.3935546875,,,
5,0.2075089195277542,0.0002994292047137618,5647300,5.073101282119751,535.3935546875,0.7336126362142344,35.00803602181772,54.12362136840816
6,0.1889894895721227,0.00029917828430524096,5647300,5.208376407623291,535.3935546875,,,
7,0.18300612084567547,0.00029888192274619827,5647300,5.105511903762817,535.3935546875,,,
8,0.1767619582824409,0.0002985402103112355,5647300,4.983762979507446,535.3935546875,,,
9,0.16204179520718753,0.00029815325108927063,5647300,5.332238674163818,535.3935546875,,,
10,0.154739988502115,0.0002977211629518312,5647300,5.174087047576904,535.3935546875,0.7963080828270592,15.929011723217618,24.632635513941448
11,0.15086419903673232,0.00029724407751714955,5647300,5.076361656188965,535.3935546875,,,
12,0.15463806642219424,0.0002967221401100708,5647300,5.17565655708313,535.3935546875,,,
13,0.14063450857065618,0.00029615550971778527,5647300,5.023597002029419,535.3935546875,,,
14,0.14125999086536467,0.0002955443589413994,5647300,5.1315741539001465,535.3935546875,,,
15,0.15334337716922164,0.0002948888739433602,5647300,4.990159511566162,535.3935546875,0.8528273726612411,8.015992000627863,1.6178247133890789
16,0.15059004840441048,0.0002941892543907478,5647300,5.14773416519165,535.3935546875,,,
17,0.14409878989681602,0.0002934457133944553,5647300,5.21144700050354,535.3935546875,,,
18,0.1382141187787056,0.00029265847744427303,5647300,5.138527870178223,535.3935546875,,,
19,0.13970960350707173,0.00029182778633989753,5647300,5.0942652225494385,535.3935546875,,,
20,0.1367309559136629,0.0002909538931178862,5647300,5.172056436538696,535.3935546875,0.8102331638218353,15.754547371772096,4.553957939147949
21,0.13770061335526407,0.00029003706397458023,5647300,5.018553972244263,535.3935546875,,,
22,0.14478879421949387,0.0002890775781850181,5647300,4.9544596672058105,535.3935546875,,,
23,0.1283944936003536,0.00028807572801786604,5647300,5.340219974517822,535.3935546875,,,
24,0.13286413252353668,0.0002870318186463901,5647300,5.163748264312744,535.3935546875,,,
25,0.126551863970235,0.0002859461680554975,5647300,5.019055366516113,535.3935546875,0.8347867397680332,9.481052548467567,2.140434145927429
26,0.13282722723670304,0.00028481910694487506,5647300,5.169847726821899,535.3935546875,,,
27,0.121514547849074,0.0002836509786282552,5647300,5.146626949310303,535.3935546875,,,
28,0.14652373106218874,0.00028244213892883907,5647300,5.185133218765259,535.3935546875,,,
29,0.1515304483473301,0.0002811929560709094,5647300,5.340454816818237,535.3935546875,,,
30,0.12450988730415702,0.00027990381056766585,5647300,5.174089431762695,535.3935546875,0.8512945407275022,9.849957448333724,1.7295403083165486
31,0.12325930478982627,0.0002785750951053169,5647300,5.132161378860474,535.3935546875,,,
32,0.13233535806648433,0.0002772072144234639,5647300,5.154421091079712,535.3935546875,,,
33,0.12315864744596183,0.00027580058519181366,5647300,5.004860877990723,535.3935546875,,,
34,0.12355811335146427,0.0002743556358832563,5647300,5.054152965545654,535.3935546875,,,
35,0.1383141817059368,0.00027287280664334886,5647300,5.140323877334595,535.3935546875,0.835335047725058,10.997270466466695,1.9166665077209473
36,0.1267560615669936,0.0002713525491562422,5647300,5.1868109703063965,535.3935546875,,,
37,0.12689321860671043,0.000269795326507094,5647300,5.090925931930542,535.3935546875,,,
38,0.12187015684321523,0.0002682016130410084,5647300,5.337289333343506,535.3935546875,,,
39,0.1257968465797603,0.00026657189421854573,5647300,5.0269129276275635,535.3935546875,,,
40,0.12436616700142622,0.0002649066664678468,5647300,4.9529030323028564,535.3935546875,0.8514735507647256,9.924808612930606,1.7295403083165486
41,0.12047185469418764,0.00026320643703341595,5647300,5.1050941944122314,535.3935546875,,,
42,0.13683066912926733,0.0002614717238216093,5647300,5.077920436859131,535.3935546875,,,
43,0.12271417560987175,0.0002597030552428758,5647300,5.266371250152588,535.3935546875,,,
44,0.12822279194369912,0.0002579009700507978,5647300,5.072918653488159,535.3935546875,,,
45,0.126237609423697,0.00025606601717798223,5647300,5.011698961257935,535.3935546875,0.8602139807341516,10.714605268347436,1.4100958903630574
46,0.11966059124097228,0.0002541987555688497,5647300,5.136901378631592,535.3935546875,,,
47,0.1227022442035377,0.0002522997540093749,5647300,5.097245931625366,535.3935546875,,,
48,0.11856730817817152,0.00025036959095382886,5647300,5.00898003578186,535.3935546875,,,
49,0.11567329638637602,0.0002484088543485762,5647300,5.088659763336182,535.3935546875,,,
50,0.11762193962931633,0.000246418141452981,5647300,5.062446594238281,535.3935546875,0.8550578328436776,13.467898370511968,1.5424141089121501
