epoch,train_loss,lr,parameters,epoch_seconds,peak_memory_mb,val_dice_mean,val_avd_mean,val_hd95_mean
1,0.5921251678373665,0.0002999771542734587,5647300,3639.490556240082,0.0,,,
2,0.39121489226818085,0.0002999086240528644,5647300,3603.532660484314,0.0,,,
1,0.591783249983564,0.0002999771542734587,5647300,6.082597732543945,535.1435546875,,,
2,0.3850069020409137,0.0002999086240528644,5647300,4.912370204925537,534.0810546875,,,
3,0.2681306656450033,0.0002997944302131861,5647300,5.1356587409973145,534.0810546875,,,
4,0.21421104413457215,0.0002996346075389736,5647300,5.099184513092041,534.0810546875,,,
5,0.1924070711247623,0.0002994292047137618,5647300,5.083277702331543,534.0810546875,0.8513942367231065,6.373651676046968,1.5424134731292725
6,0.18410146399401128,0.00029917828430524096,5647300,5.356590986251831,534.0810546875,,,
7,0.19486105092801154,0.00029888192274619827,5647300,5.191738128662109,534.0810546875,,,
8,0.1657791614998132,0.0002985402103112355,5647300,5.10702109336853,534.0810546875,,,
9,0.16321336990222335,0.00029815325108927063,5647300,5.089941024780273,534.0810546875,,,
10,0.15202917461283505,0.0002977211629518312,5647300,5.111499071121216,534.0810546875,0.8608727890006341,7.987436059038021,1.4100950956344604
11,0.14387182123027742,0.00029724407751714955,5647300,5.103027582168579,534.0810546875,,,
12,0.15455497056245804,0.0002967221401100708,5647300,5.312390565872192,534.0810546875,,,
13,0.1426570527255535,0.00029615550971778527,5647300,5.288344621658325,534.0810546875,,,
14,0.14394521643407643,0.0002955443589413994,5647300,5.264374256134033,534.0810546875,,,
15,0.16476847021840513,0.0002948888739433602,5647300,5.2375311851501465,534.0810546875,0.8635713028755704,6.8590482969237785,1.2229691346486409
16,0.1504682363010943,0.0002941892543907478,5647300,5.174863815307617,534.0810546875,,,
17,0.13974137254990637,0.0002934457133944553,5647300,5.12235689163208,534.0810546875,,,
18,0.13789260271005332,0.00029265847744427303,5647300,5.03277063369751,534.0810546875,,,
19,0.13374978327192366,0.00029182778633989753,5647300,5.241027116775513,534.0810546875,,,
20,0.13337699580006301,0.0002909538931178862,5647300,5.103726625442505,534.0810546875,0.8665995128520775,8.271583776061846,1.2229691346486409
21,0.13453572103753686,0.00029003706397458023,5647300,5.257099866867065,534.0810546875,,,
22,0.13488529901951551,0.0002890775781850181,5647300,5.0280938148498535,534.0810546875,,,
23,0.14114261837676167,0.00028807572801786604,5647300,5.32535195350647,534.0810546875,,,
24,0.13398356828838587,0.0002870318186463901,5647300,5.0516839027404785,534.0810546875,,,
25,0.12798019358888268,0.0002859461680554975,5647300,5.435340404510498,534.0810546875,0.8636304418684523,10.615033795403267,1.2229691346486409
26,0.13294446165673435,0.00028481910694487506,5647300,5.066277265548706,534.0810546875,,,
27,0.1308408232871443,0.0002836509786282552,5647300,5.204095125198364,534.0810546875,,,
28,0.13224969804286957,0.00028244213892883907,5647300,5.011650562286377,534.0810546875,,,
29,0.1394340123515576,0.0002811929560709094,5647300,5.055206775665283,534.0810546875,,,
30,0.1399906761944294,0.00027990381056766585,5647300,5.0264222621917725,534.0810546875,0.862682941388103,8.634514870888621,1.2777770360310872
31,0.12683126726187766,0.0002785750951053169,5647300,5.036705255508423,534.0810546875,,,
32,0.12804647139273584,0.0002772072144234639,5647300,4.985182285308838,534.0810546875,,,
33,0.12810716102831066,0.00027580058519181366,5647300,4.950047016143799,534.0810546875,,,
34,0.12383949873037636,0.0002743556358832563,5647300,4.929699897766113,534.0810546875,,,
35,0.13385646673850715,0.00027287280664334886,5647300,5.026132822036743,534.0810546875,0.8725758925976536,6.779515439184089,1.2229691346486409
36,0.13505911827087402,0.0002713525491562422,5647300,5.205097198486328,534.0810546875,,,
37,0.12783152190968394,0.000269795326507094,5647300,5.042866945266724,534.0810546875,,,
38,0.12226123292930424,0.0002682016130410084,5647300,4.968421697616577,534.0810546875,,,
39,0.1226484680082649,0.00026657189421854573,5647300,4.999607086181641,534.0810546875,,,
40,0.13164570764638484,0.0002649066664678468,5647300,4.995548486709595,534.0810546875,0.8644471197134648,9.688938935656408,1.0906510750452678
41,0.1317295969929546,0.00026320643703341595,5647300,5.094527006149292,534.0810546875,,,
42,0.12519193487241864,0.0002614717238216093,5647300,5.117594480514526,534.0810546875,,,
43,0.1330891940742731,0.0002597030552428758,5647300,5.517974615097046,534.0810546875,,,
44,0.13033688603900373,0.0002579009700507978,5647300,5.0852744579315186,534.0810546875,,,
45,0.1201925897039473,0.00025606601717798223,5647300,5.049525737762451,534.0810546875,0.8705007364337208,9.080832111113237,1.0906510750452678
46,0.12247339263558388,0.0002541987555688497,5647300,4.97469425201416,534.0810546875,,,
47,0.12407551356591284,0.0002522997540093749,5647300,5.021780252456665,534.0810546875,,,
48,0.12317028152756393,0.00025036959095382886,5647300,5.210546016693115,534.0810546875,,,
49,0.12129189586266875,0.0002484088543485762,5647300,5.008098602294922,534.0810546875,,,
50,0.13055745419114828,0.000246418141452981,5647300,5.095931529998779,534.0810546875,0.8673087638963278,10.399700800874516,1.2229691346486409
51,0.12365637766197324,0.00024439805865747574,5647300,5.082125663757324,534.0810546875,,,
52,0.12363137979991734,0.00024234922129884884,5647300,5.225877523422241,534.0810546875,,,
53,0.13178468053229153,0.0002402722534728074,5647300,5.030423402786255,534.0810546875,,,
54,0.1296140847261995,0.00023816778784387107,5647300,5.06269645690918,534.0810546875,,,
55,0.12401628121733665,0.000236036465452657,5647300,5.295681953430176,534.0810546875,0.8675403138341897,8.280652460453267,1.0906510750452678
56,0.12114990688860416,0.00023387893552061212,5647300,5.148279428482056,534.0810546875,,,
57,0.11654627788811922,0.00023169585525225416,5647300,5.191523313522339,534.0810546875,,,
58,0.12399404612369835,0.00022948788963498082,5647300,5.198492527008057,534.0810546875,,,
59,0.11846450297161937,0.0002272557112365082,5647300,5.127867698669434,534.0810546875,,,
60,0.12209635809995234,0.00022500000000000008,5647300,5.2078142166137695,534.0810546875,0.8641808907361571,10.136488618833509,1.0906510750452678
61,0.11797053436748683,0.00022272144303695066,5647300,5.031148910522461,534.0810546875,,,
62,0.12153405509889126,0.0002204207344178837,5647300,5.030164003372192,534.0810546875,,,
63,0.11702975048683584,0.0002180985749609321,5647300,5.071470737457275,534.0810546875,,,
64,0.11725696688517928,0.0002157556720183617,5647300,5.149339914321899,534.0810546875,,,
65,0.1213839566335082,0.00021339273926110502,5647300,5.20006537437439,534.0810546875,0.8675921313035118,8.812329063835575,1.2229691346486409
66,0.12038406427018344,0.00021101049646137012,5647300,5.205160617828369,534.0810546875,,,
67,0.12211523181758821,0.0002086096692733912,5647300,5.098086595535278,534.0810546875,,,
68,0.11679482739418745,0.00020619098901238688,5647300,4.900196075439453,534.0810546875,,,
69,0.12383960746228695,0.00020375519243179515,5647300,5.081913471221924,534.0810546875,,,
70,0.11632534465752542,0.0002013030214988504,5647300,5.008249521255493,534.0810546875,0.8653743058031952,9.881612048959214,1.0906510750452678
71,0.11746744439005852,0.00019883522316857356,5647300,5.214116811752319,534.0810546875,,,
72,0.11304227053187788,0.0001963525491562422,5647300,5.103560209274292,534.0810546875,,,
73,0.11034281249158084,0.00019385575570841058,5647300,5.299626350402832,534.0810546875,,,
74,0.11195163545198739,0.00019134560337254994,5647300,5.095419645309448,534.0810546875,,,
75,0.11632475652731955,0.00018882285676537818,5647300,5.357750177383423,534.0810546875,0.8689654328569626,9.621912338691258,1.0906510750452678
76,0.12083335220813751,0.00018628828433995024,5647300,5.162535667419434,534.0810546875,,,
77,0.12094190204516053,0.00018374265815157982,5647300,5.24552059173584,534.0810546875,,,
78,0.12251154519617558,0.00018118675362266399,5647300,5.167294025421143,534.0810546875,,,
79,0.11374735389836133,0.0001786213493064818,5647300,5.1576454639434814,534.0810546875,,,
80,0.11123788566328585,0.00017604722665003964,5647300,5.240564584732056,534.0810546875,0.8645040172198707,11.247750689428868,1.0906510750452678
81,0.12077387538738549,0.0001734651697560347,5647300,5.235214471817017,534.0810546875,,,
82,0.120056108571589,0.0001708759651440099,5647300,5.193770170211792,534.0810546875,,,
83,0.11787790595553815,0.00016828040151077218,5647300,5.154444932937622,534.0810546875,,,
84,0.11217104806564748,0.0001656792694901481,5647300,5.257089376449585,534.0810546875,,,
85,0.11215128842741251,0.00016307336141214879,5647300,5.054892063140869,534.0810546875,0.8648903956521469,11.014122981291889,1.0906510750452678
86,0.1199680776335299,0.00016046347106161887,5647300,5.3286824226379395,534.0810546875,,,
87,0.11181526677682996,0.00015785039343644164,5647300,5.358806133270264,534.0810546875,,,
88,0.11218593874946237,0.00015523492450537522,5647300,5.245680332183838,534.0810546875,,,
89,0.11105555575340986,0.00015261786096559257,5647300,5.153345584869385,534.0810546875,,,
90,0.1171387869399041,0.00015000000000000004,5647300,5.022326946258545,534.0810546875,0.8643911030896959,9.837618735346641,1.0906510750452678
91,0.10890766745433211,0.00014738213903440751,5647300,4.9901814460754395,534.0810546875,,,
92,0.10868130507878959,0.00014476507549462494,5647300,5.141464948654175,534.0810546875,,,
93,0.11082781059667468,0.0001421496065635585,5647300,5.034930229187012,534.0810546875,,,
94,0.1082795956172049,0.00013953652893838124,5647300,4.960263729095459,534.0810546875,,,
95,0.10864394181407988,0.0001369266385878513,5647300,4.992420196533203,534.0810546875,0.8608009857478857,12.103537886890754,1.0906510750452678
96,0.11974435369484127,0.00013432073050985205,5647300,5.028351068496704,534.0810546875,,,
97,0.10774647747166455,0.00013171959848922793,5647300,5.171343088150024,534.0810546875,,,
98,0.1162446141242981,0.0001291240348559902,5647300,5.033513784408569,534.0810546875,,,
99,0.1102844518609345,0.00012653483024396535,5647300,5.213690280914307,534.0810546875,,,
100,0.10872440226376057,0.00012395277334996047,5647300,5.112333536148071,534.0810546875,0.8660692972525682,10.95252916811122,1.0906510750452678
101,0.10881718038581312,0.00012137865069351829,5647300,5.179998874664307,534.0810546875,,,
102,0.10764669440686703,0.00011881324637733614,5647300,5.20964241027832,534.0810546875,,,
103,0.11225472437217832,0.00011625734184842028,5647300,5.188626527786255,534.0810546875,,,
104,0.1112372144125402,0.00011371171566004984,5647300,5.2008466720581055,534.0810546875,,,
105,0.115602423902601,0.00011117714323462189,5647300,5.0766119956970215,534.0810546875,0.8691507026004045,10.173627270086074,1.0906510750452678
106,0.1108020271640271,0.00010865439662745014,5647300,5.002125263214111,534.0810546875,,,
107,0.10601766756735742,0.00010614424429158951,5647300,5.005319356918335,534.0810546875,,,
108,0.10803915676660836,0.00010364745084375791,5647300,5.235271692276001,534.0810546875,,,
109,0.11064494983293116,0.00010116477683142653,5647300,4.997486114501953,534.0810546875,,,
110,0.10636361874639988,9.86969785011497e-05,5647300,5.182014465332031,534.0810546875,0.8649149591751941,11.125349580059016,1.0906510750452678
111,0.10889363987371325,9.624480756820496e-05,5647300,5.210206508636475,534.0810546875,,,
112,0.10748996492475271,9.380901098761319e-05,5647300,5.303980827331543,534.0810546875,,,
113,0.11169341881759465,9.139033072660896e-05,5647300,5.1899707317352295,534.0810546875,,,
114,0.10761660640127957,8.898950353862999e-05,5647300,5.0524702072143555,534.0810546875,,,
115,0.10889744409359992,8.660726073889511e-05,5647300,5.141333818435669,534.0810546875,0.8610269539120368,12.012702580176759,1.0906510750452678
116,0.10980995511636138,8.424432798163838e-05,5647300,5.2063822746276855,534.0810546875,,,
117,0.1117113046348095,8.190142503906799e-05,5647300,5.273413419723511,534.0810546875,,,
118,0.10617765388451517,7.957926558211643e-05,5647300,5.141938209533691,534.0810546875,,,
119,0.1055935847107321,7.727855696304945e-05,5647300,5.131558656692505,534.0810546875,,,
120,0.10660635423846543,7.500000000000003e-05,5647300,5.201314687728882,534.0810546875,0.8664549580746126,10.4436666977575,1.2229691346486409
121,0.10557803837582469,7.274428876349186e-05,5647300,5.274350643157959,534.0810546875,,,
122,0.10731900483369827,7.051211036501928e-05,5647300,5.2309088706970215,534.0810546875,,,
123,0.10932785179466009,6.830414474774594e-05,5647300,5.144322156906128,534.0810546875,,,
124,0.10561474924907088,6.6121064479388e-05,5647300,5.074714422225952,534.0810546875,,,
125,0.10232809418812394,6.396353454734313e-05,5647300,5.5421223640441895,534.0810546875,0.8626545488881829,10.595033010103801,1.0906510750452678
126,0.10937633202411234,6.183221215612905e-05,5647300,5.3665173053741455,534.0810546875,,,
127,0.10831333044916391,5.9727746527192744e-05,5647300,5.255504369735718,534.0810546875,,,
128,0.10798153234645724,5.765077870115126e-05,5647300,5.161489009857178,534.0810546875,,,
129,0.10837401123717427,5.560194134252441e-05,5647300,5.163959741592407,534.0810546875,,,
130,0.10792167647741735,5.3581858547019096e-05,5647300,5.128224611282349,534.0810546875,0.8660440207523394,10.273560104135397,1.0906510750452678
131,0.10474144341424108,5.159114565142388e-05,5647300,5.160388708114624,534.0810546875,,,
132,0.10951204225420952,4.963040904617127e-05,5647300,5.29148530960083,534.0810546875,,,
133,0.10672028479166329,4.770024599062525e-05,5647300,5.466025352478027,534.0810546875,,,
134,0.10539719252847135,4.580124443115045e-05,5647300,5.094520092010498,534.0810546875,,,
135,0.10489511908963323,4.393398282201788e-05,5647300,5.2792253494262695,534.0810546875,0.865334163904974,10.496464514881868,1.0906510750452678
136,0.10246621491387486,4.209902994920232e-05,5647300,4.958252429962158,534.0810546875,,,
137,0.105236237635836,4.029694475712443e-05,5647300,5.096486568450928,534.0810546875,,,
138,0.10518844937905669,3.8528276178390895e-05,5647300,5.272796630859375,534.0810546875,,,
139,0.10370518546551466,3.6793562966584196e-05,5647300,5.2377259731292725,534.0810546875,,,
140,0.1032753181643784,3.5093333532153316e-05,5647300,5.081946849822998,534.0810546875,0.862621092371039,10.77505627513832,1.0906510750452678
141,0.10522192157804966,3.3428105781454396e-05,5647300,5.0960853099823,534.0810546875,,,
142,0.10269653191789985,3.1798386958991714e-05,5647300,5.102763414382935,534.0810546875,,,
143,0.10186514374800026,3.0204673492906058e-05,5647300,5.105842351913452,534.0810546875,,,
144,0.10662907315418124,2.8647450843757897e-05,5647300,5.261054039001465,534.0810546875,,,
145,0.10233110375702381,2.7127193356651263e-05,5647300,5.073986768722534,534.0810546875,0.8649324748590071,10.43847392272919,1.0906510750452678
146,0.10438772779889405,2.564436411674376e-05,5647300,5.134817361831665,534.0810546875,,,
147,0.10191790363751352,2.419941480818638e-05,5647300,5.148365497589111,534.0810546875,,,
148,0.10361449955962598,2.279278557653611e-05,5647300,5.215723991394043,534.0810546875,,,
149,0.10455207549966872,2.142490489468317e-05,5647300,5.188489198684692,534.0810546875,,,
150,0.10300138755701482,2.0096189432334197e-05,5647300,5.160909414291382,534.0810546875,0.8666241601190751,10.181171055032705,1.0906510750452678
151,0.10167899052612484,1.8807043929090642e-05,5647300,5.127938747406006,534.0810546875,,,
152,0.10202487534843385,1.7557861071160986e-05,5647300,5.019986152648926,534.0810546875,,,
153,0.10561173572205007,1.6349021371744834e-05,5647300,5.16098427772522,534.0810546875,,,
154,0.10458969906903803,1.5180893055124945e-05,5647300,5.032730579376221,534.0810546875,,,
155,0.10198692348785698,1.405383194450251e-05,5647300,5.050570011138916,534.0810546875,0.8659896459415712,10.607277487129771,1.0906510750452678
156,0.10451773600652814,1.2968181353609886e-05,5647300,5.144475221633911,534.0810546875,,,
157,0.10473331087268889,1.1924271982133977e-05,5647300,4.996536493301392,534.0810546875,,,
158,0.10433613159693778,1.0922421814981903e-05,5647300,5.033967971801758,534.0810546875,,,
159,0.1018919728230685,9.962936025419738e-06,5647300,5.230565071105957,534.0810546875,,,
