epoch,train_loss,lr,parameters,epoch_seconds,peak_memory_mb,val_dice_mean,val_avd_mean,val_hd95_mean
1,0.6824833603265384,4.1666666666666665e-05,12964114,28.31376600265503,1109.8857421875,,,
2,0.5725666043969492,6.25e-05,12964114,26.544098377227783,1110.5107421875,,,
3,0.4157179621979594,8.333333333333333e-05,12964114,26.565857410430908,1110.5107421875,,,
4,0.35150232274706167,0.00010416666666666667,12964114,26.221919775009155,1110.5107421875,,,
5,0.330184916461197,0.000125,12964114,26.567450284957886,1110.5107421875,0.3128578927610588,804.3070666602338,95.2417283296585
6,0.3146619050530717,0.00014583333333333335,12964114,26.955684423446655,1159.06494140625,,,
7,0.31053067254833877,0.00016666666666666666,12964114,27.19472646713257,1160.11181640625,,,
8,0.2996902510058135,0.0001875,12964114,26.58057427406311,1159.61181640625,,,
9,0.28744887238523614,0.00020833333333333335,12964114,26.663511753082275,1159.61181640625,,,
10,0.27865643120215583,0.00022916666666666666,12964114,26.583316326141357,1159.61181640625,0.6642375058701293,87.02970344307485,63.75588405132293
11,0.27414952882099897,0.00025,12964114,26.492321729660034,1160.66650390625,,,
12,0.27152271343117906,0.00025,12964114,26.91527247428894,1160.66650390625,,,
13,0.26339832693338394,0.00024998911020905135,12964114,27.559587478637695,1160.66650390625,,,
14,0.26163404174925137,0.00024995644273360614,12964114,26.605304718017578,1160.66650390625,,,
15,0.25718651129864156,0.000249902003265536,12964114,26.876301765441895,1160.66650390625,0.7442826362025734,52.92351776618225,34.32900550961493
16,0.25434676724641275,0.0002498258012901917,12964114,26.427141189575195,1161.10400390625,,,
17,0.25124386546667665,0.0002497278500847507,12964114,26.71446442604065,1161.10400390625,,,
18,0.25092720966010046,0.00024960816671590325,12964114,26.348701000213623,1161.10400390625,,,
19,0.2488080143618087,0.0002494667720368793,12964114,26.878806591033936,1161.10400390625,,,
20,0.24454841658007354,0.0002493036906838148,12964114,27.57405376434326,1161.10400390625,0.7731529535874813,41.648738111948816,29.38397380709647
