experiment,folds,dice_mean_mean,dice_mean_std,volsim_mean_mean,volsim_mean_std,avd_mean_mean,avd_mean_std,hd95_mean_mean,hd95_mean_std,assd_mean_mean,assd_mean_std
ablation_a1_fg_aug,5,0.8715426808052836,0.009646272551270797,0.9622833868167456,0.006596908198135663,7.651486515416662,1.3136872598222964,1.2339310089747113,0.16520300627844264,0.3580403943856557,0.02914760178525701
ablation_a2_dicece_focal,5,0.8707367870585833,0.009073675625677239,0.9608406428192412,0.011196268251804632,8.071459938426194,2.3118020116171114,1.2339310089747113,0.16520300627844264,0.3985343178113301,0.09502905743081569
ablation_a4_resattn_tta,5,0.6808271504534094,0.06172027270218602,0.7796934505287053,0.06355343858744007,61.71085090476853,21.391974559971082,53.95516489028931,8.68300469165424,8.104845452308655,1.342498877721842
baseline_unet3d,5,0.8701011675851209,0.010202331484810414,0.964135543458022,0.008814604186122583,7.282911526843307,1.7860486058479235,1.2339309851328533,0.1652029887644658,0.36441600918769834,0.052137140922662986
detailed_resattn_unet3d,5,0.8168007938341055,0.03173374078541911,0.9146424752221772,0.03616310378619124,151.93897281140136,272.73012621714696,8.952314909696579,4.4966722400688965,2.8367753397673368,3.279285283820347
improved_resattn_unet3d,5,0.668664067356324,0.057804911623439606,0.7725406549157479,0.06166202026840716,64.44382783959325,20.994641323710262,57.68748843510942,7.444623270798254,8.893383336067199,1.247835619092299
