experiment,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,dice_class_6,dice_class_7,dice_class_8
ablation_a1_fg_aug,0.862421501392277,0.8610896691143857,0.891116871909188,,,,,
ablation_a2_dicece_focal,0.8609667265231143,0.8594471019150338,0.8917965327376016,,,,,
ablation_a4_resattn_tta,0.6183432278299019,0.7251948972850795,0.6989433262452465,,,,,
baseline_unet3d,0.8616003294607207,0.8598409480622712,0.8888622252323708,,,,,
detailed_resattn_unet3d,0.8255183738536125,0.838920624168033,0.8644793832320046,0.4906274645084549,0.7393886425452608,0.9352852012809635,0.9192103205462552,0.9209763405382605
improved_resattn_unet3d,0.611696572207086,0.7082828049905661,0.68601282487132,,,,,
