epoch,train_loss,lr,parameters,epoch_seconds,peak_memory_mb,val_dice_mean,val_avd_mean,val_hd95_mean,experiment,fold
1,0.5093599431216717,0.0002999771542734,5647300.0,15.891476154327393,535.3935546875,,,,ablation_a1_fg_aug,fold_2
2,0.3613030491396785,0.0002999086240528,5647300.0,15.888018608093262,535.3935546875,,,,ablation_a1_fg_aug,fold_2
3,0.2574154630303383,0.0002997944302131,5647300.0,15.726742029190063,536.2685546875,,,,ablation_a1_fg_aug,fold_2
4,0.2140664622187614,0.0002996346075389,5647300.0,15.560261964797974,536.2685546875,,,,ablation_a1_fg_aug,fold_2
5,0.1918322563171386,0.0002994292047137,5647300.0,15.643580675125122,536.2685546875,0.8065703761398405,13.878907818115048,13.437718423207562,ablation_a1_fg_aug,fold_2
6,0.1796630248427391,0.0002991782843052,5647300.0,15.9353506565094,536.2685546875,,,,ablation_a1_fg_aug,fold_2
7,0.1732658326625824,0.0002988819227461,5647300.0,15.38698935508728,536.2685546875,,,,ablation_a1_fg_aug,fold_2
8,0.1640637174248695,0.0002985402103112,5647300.0,15.905844688415527,536.2685546875,,,,ablation_a1_fg_aug,fold_2
9,0.1623262245208025,0.0002981532510892,5647300.0,15.878921508789062,536.2685546875,,,,ablation_a1_fg_aug,fold_2
10,0.1601973034441471,0.0002977211629518,5647300.0,15.512070894241331,536.2685546875,0.82889870924645,6.521637411546156,3.477111538251241,ablation_a1_fg_aug,fold_2
11,0.1597885601222515,0.0002972440775171,5647300.0,15.956905841827393,536.2685546875,,,,ablation_a1_fg_aug,fold_2
12,0.153690325282514,0.00029672214011,5647300.0,15.59285044670105,536.2685546875,,,,ablation_a1_fg_aug,fold_2
13,0.1552299277856946,0.0002961555097177,5647300.0,15.791444063186646,536.2685546875,,,,ablation_a1_fg_aug,fold_2
14,0.1502386797219514,0.0002955443589413,5647300.0,15.718703746795654,536.2685546875,,,,ablation_a1_fg_aug,fold_2
15,0.1487958915531635,0.0002948888739433,5647300.0,16.318029642105103,536.2685546875,0.832002807146866,6.919990253433762,2.445939381917318,ablation_a1_fg_aug,fold_2
16,0.1520625604316592,0.0002941892543907,5647300.0,15.603097438812256,536.2685546875,,,,ablation_a1_fg_aug,fold_2
17,0.1455374287441372,0.0002934457133944,5647300.0,15.968145608901978,536.2685546875,,,,ablation_a1_fg_aug,fold_2
18,0.143440330773592,0.0002926584774442,5647300.0,15.503336191177368,536.2685546875,,,,ablation_a1_fg_aug,fold_2
19,0.141526441834867,0.0002918277863398,5647300.0,15.823468923568726,536.2685546875,,,,ablation_a1_fg_aug,fold_2
20,0.1444696467369794,0.0002909538931178,5647300.0,15.558646202087402,536.2685546875,0.8533459035809798,12.304755202244955,1.54241410891215,ablation_a1_fg_aug,fold_2
21,0.1430567782372236,0.0002900370639745,5647300.0,16.101784706115723,536.2685546875,,,,ablation_a1_fg_aug,fold_2
22,0.1427619032561779,0.000289077578185,5647300.0,15.848228454589844,536.2685546875,,,,ablation_a1_fg_aug,fold_2
23,0.1394184287637472,0.0002880757280178,5647300.0,15.66330909729004,536.2685546875,,,,ablation_a1_fg_aug,fold_2
24,0.1394309055060148,0.0002870318186463,5647300.0,15.613186597824097,536.2685546875,,,,ablation_a1_fg_aug,fold_2
25,0.1384891735389828,0.0002859461680554,5647300.0,15.358723878860474,536.2685546875,0.860335779963232,10.018802898198375,1.4100958903630574,ablation_a1_fg_aug,fold_2
26,0.1385907500982284,0.0002848191069448,5647300.0,15.41848087310791,536.2685546875,,,,ablation_a1_fg_aug,fold_2
27,0.140189597941935,0.0002836509786282,5647300.0,15.890938997268677,536.2685546875,,,,ablation_a1_fg_aug,fold_2
28,0.1402937993407249,0.0002824421389288,5647300.0,15.881722450256348,536.2685546875,,,,ablation_a1_fg_aug,fold_2
29,0.1399763343855738,0.0002811929560709,5647300.0,15.663172960281372,536.2685546875,,,,ablation_a1_fg_aug,fold_2
30,0.1392291372641921,0.0002799038105676,5647300.0,15.680587530136108,536.2685546875,0.837866716313858,9.394798594531212,2.04898472627004,ablation_a1_fg_aug,fold_2
31,0.1343382587656378,0.0002785750951053,5647300.0,15.589521646499634,536.2685546875,,,,ablation_a1_fg_aug,fold_2
32,0.1374374270439148,0.0002772072144234,5647300.0,15.615102767944336,536.2685546875,,,,ablation_a1_fg_aug,fold_2
33,0.1369518931955099,0.0002758005851918,5647300.0,16.25751829147339,536.2685546875,,,,ablation_a1_fg_aug,fold_2
34,0.132928659953177,0.0002743556358832,5647300.0,16.06167984008789,536.2685546875,,,,ablation_a1_fg_aug,fold_2
35,0.134250783920288,0.0002728728066433,5647300.0,15.762407541275024,536.2685546875,0.8471385028863648,8.068446457453739,1.6726326942443848,ablation_a1_fg_aug,fold_2
36,0.135446217469871,0.0002713525491562,5647300.0,15.479509115219116,536.2685546875,,,,ablation_a1_fg_aug,fold_2
37,0.1328411439433693,0.000269795326507,5647300.0,15.747889041900637,536.2685546875,,,,ablation_a1_fg_aug,fold_2
38,0.1352574903517961,0.000268201613041,5647300.0,15.366806507110596,536.2685546875,,,,ablation_a1_fg_aug,fold_2
39,0.1334154231473803,0.0002665718942185,5647300.0,15.855929374694824,536.2685546875,,,,ablation_a1_fg_aug,fold_2
40,0.1311118774116039,0.0002649066664678,5647300.0,16.143073320388794,536.2685546875,0.8595199245394088,10.9516751867964,1.4100958903630574,ablation_a1_fg_aug,fold_2
41,0.1315992653369903,0.0002632064370334,5647300.0,15.45389723777771,536.2685546875,,,,ablation_a1_fg_aug,fold_2
42,0.1270594574511051,0.0002614717238216,5647300.0,15.58139181137085,536.2685546875,,,,ablation_a1_fg_aug,fold_2
